,country_name,cases,deaths,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
340,Diamond Princess,712.0,13.0,651.0,0.0,0.0,4.0,48.0,0.0,0.0,0.0,0.0
341,CAR,702.0,1.0,23.0,0.0,0.0,0.0,678.0,146.0,0.2,11570.0,2400.0
342,San Marino,670.0,42.0,322.0,0.0,3.0,1.0,306.0,19749.0,1238.0,4303.0,126839.0
343,Madagascar,656.0,2.0,154.0,0.0,44.0,10.0,500.0,24.0,0.07,9848.0,357.0
344,Malta,616.0,7.0,501.0,0.0,4.0,1.0,108.0,1395.0,16.0,65471.0,148314.0
345,Congo,571.0,19.0,161.0,0.0,0.0,0.0,391.0,104.0,3.0,0.0,0.0
346,Jamaica,569.0,9.0,279.0,0.0,5.0,2.0,281.0,192.0,3.0,11259.0,3804.0
347,Channel Islands,560.0,45.0,512.0,0.0,0.0,0.0,3.0,3224.0,259.0,10255.0,59035.0
348,Tanzania,509.0,21.0,183.0,0.0,0.0,7.0,305.0,9.0,0.4,0.0,0.0
349,Réunion,465.0,1.0,411.0,0.0,5.0,1.0,53.0,520.0,1.0,17200.0,19224.0
350,Sao Tome and Principe,458.0,12.0,68.0,0.0,15.0,0.0,378.0,2094.0,55.0,175.0,800.0
351,Palestine,446.0,3.0,368.0,0.0,12.0,0.0,75.0,88.0,0.6,44876.0,8818.0
352,Taiwan,441.0,7.0,420.0,0.0,0.0,0.0,14.0,19.0,0.3,71581.0,3006.0
353,Togo,422.0,13.0,197.0,0.0,27.0,0.0,212.0,51.0,2.0,18696.0,2264.0
354,French Guiana,406.0,1.0,150.0,0.0,0.0,2.0,255.0,1363.0,3.0,0.0,0.0
355,Cabo Verde,390.0,4.0,155.0,0.0,0.0,0.0,231.0,702.0,7.0,1307.0,2353.0
356,Rwanda,349.0,0.0,245.0,0.0,3.0,0.0,104.0,27.0,0.0,64268.0,4975.0
357,Mauritania,346.0,19.0,15.0,3.0,54.0,0.0,312.0,75.0,4.0,2583.0,557.0
358,Isle of Man,336.0,24.0,306.0,0.0,0.0,2.0,6.0,3953.0,282.0,4732.0,55676.0
359,Mauritius,334.0,10.0,322.0,0.0,0.0,0.0,2.0,263.0,8.0,111358.0,87575.0
360,Vietnam,327.0,0.0,278.0,0.0,0.0,1.0,49.0,3.0,0.0,275000.0,2828.0
361,Montenegro,324.0,9.0,315.0,0.0,0.0,0.0,0.0,516.0,14.0,10167.0,16188.0
362,Uganda,281.0,0.0,69.0,0.0,0.0,0.0,212.0,6.0,0.0,90832.0,1993.0
363,Eswatini,279.0,2.0,168.0,0.0,7.0,0.0,109.0,241.0,2.0,4994.0,4309.0
364,Yemen,278.0,57.0,11.0,4.0,22.0,0.0,210.0,9.0,2.0,120.0,4.0
365,Liberia,269.0,27.0,144.0,0.0,3.0,0.0,98.0,53.0,5.0,0.0,0.0
366,Mozambique,233.0,2.0,82.0,1.0,6.0,0.0,149.0,7.0,0.06,9036.0,290.0
367,Benin,210.0,3.0,134.0,0.0,0.0,0.0,73.0,17.0,0.2,28179.0,2331.0
368,Myanmar,206.0,6.0,126.0,0.0,0.0,0.0,74.0,4.0,0.1,21593.0,397.0
369,Malawi,203.0,4.0,37.0,0.0,102.0,1.0,162.0,11.0,0.2,3372.0,177.0
370,Martinique,197.0,14.0,91.0,0.0,0.0,0.0,92.0,525.0,37.0,0.0,0.0
371,Faeroe Islands,187.0,0.0,187.0,0.0,0.0,0.0,0.0,3828.0,0.0,9386.0,192155.0
372,Guadeloupe,161.0,14.0,115.0,0.0,0.0,3.0,32.0,402.0,35.0,3573.0,8930.0
373,Mongolia,161.0,0.0,43.0,0.0,13.0,11.0,118.0,49.0,0.0,13225.0,4041.0
374,Gibraltar,158.0,0.0,147.0,0.0,1.0,0.0,11.0,4690.0,0.0,7073.0,209931.0
375,Brunei,141.0,2.0,138.0,0.0,0.0,2.0,1.0,323.0,5.0,18707.0,42800.0
376,Cayman Islands,140.0,1.0,67.0,0.0,0.0,0.0,72.0,2133.0,15.0,10466.0,159426.0
377,Guyana,139.0,11.0,67.0,0.0,0.0,2.0,61.0,177.0,14.0,1500.0,1908.0
378,Bermuda,139.0,9.0,91.0,0.0,0.0,2.0,39.0,2231.0,144.0,6826.0,109570.0
379,Zimbabwe,132.0,4.0,25.0,0.0,0.0,0.0,103.0,9.0,0.3,37039.0,2496.0
380,Cambodia,124.0,0.0,122.0,0.0,0.0,1.0,2.0,7.0,0.0,18392.0,1102.0
381,Syria,122.0,4.0,43.0,0.0,1.0,0.0,75.0,7.0,0.2,0.0,0.0
382,Trinidad and Tobago,116.0,8.0,108.0,0.0,0.0,0.0,0.0,83.0,6.0,3091.0,2209.0
383,Libya,105.0,5.0,40.0,1.0,6.0,0.0,60.0,15.0,0.7,5154.0,751.0
384,Aruba,101.0,3.0,97.0,0.0,0.0,3.0,1.0,946.0,28.0,2105.0,19724.0
385,Bahamas,100.0,11.0,46.0,0.0,0.0,1.0,43.0,255.0,28.0,2043.0,5200.0
386,Monaco,98.0,4.0,90.0,0.0,0.0,2.0,4.0,2499.0,102.0,0.0,0.0
